Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
8.60,0.972222,0.970356
8.61,0.972222,0.970773
8.62,0.972222,0.970426
8.63,0.972222,0.971917
8.64,0.972222,0.971754
8.65,0.972222,0.971609
8.66,0.972222,0.972416
8.67,0.972222,0.970691
8.68,0.972222,0.969832
8.69,0.972222,0.970213
8.70,0.972222,0.970482
8.71,0.972222,0.970404
8.72,0.972222,0.969831
8.73,0.972222,0.969875
8.74,0.972222,0.969549
8.75,0.972222,0.970166
8.76,0.972222,0.970934
8.77,0.972222,0.969448
8.78,0.972222,0.969450
8.79,0.972222,0.968224
8.80,0.972222,0.966946
8.81,0.972222,0.967149
8.82,0.972222,0.968103
8.83,0.972222,0.967324
8.84,0.972222,0.968666
8.85,0.972222,0.969667
8.86,0.972222,0.969186
8.87,0.972222,0.968917
8.88,0.972222,0.969118
8.89,0.972222,0.968812
8.90,0.972222,0.969056
8.91,0.972222,0.968689
8.92,0.972222,0.969076
8.93,0.972222,0.968478
8.94,0.972222,0.967845
8.95,0.972222,0.968726
8.96,0.972222,0.970076
8.97,0.972222,0.969267
8.98,0.972222,0.969041
8.99,0.972222,0.968599
9.00,0.972222,0.967186
9.01,0.972222,0.967842
9.02,0.972222,0.967206
9.03,0.972222,0.966516
9.04,0.972222,0.966622
9.05,0.972222,0.967362
9.06,0.972222,0.966743
9.07,0.972222,0.965353
9.08,0.972222,0.965546
9.09,0.972222,0.964002
9.10,0.972222,0.964830
9.11,0.972222,0.966073
9.12,0.972222,0.966505
9.13,0.972222,0.966293
9.14,0.972222,0.965841
9.15,0.972222,0.966240
9.16,0.972222,0.966770
9.17,0.972222,0.967462
9.18,0.972222,0.966918
9.19,0.972222,0.965384
9.20,0.972222,0.965688
9.21,0.972222,0.965664
9.22,0.972222,0.965697
9.23,0.972222,0.967072
9.24,0.972222,0.967848
9.25,0.972222,0.967600
9.26,0.972222,0.967621
9.27,0.972222,0.968558
9.28,0.972222,0.967157
9.29,0.972222,0.966830
